audio_filename,motion_dirname
datasets/training_dataset/audio/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--DAYLIFE_Shopping--185012-194011/AQK592/audio_separated/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--DAYLIFE_Shopping--185012-194011.wav,datasets/training_dataset/smplx/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--DAYLIFE_Shopping--185012-194011/AQK592
datasets/training_dataset/audio/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--DAYLIFE_Shopping--185012-194011/BFG607/audio_separated/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--DAYLIFE_Shopping--185012-194011.wav,datasets/training_dataset/smplx/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--DAYLIFE_Shopping--185012-194011/BFG607
datasets/training_dataset/audio/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--DAYLIFE_Shopping--185012-194011/PVW159/audio_separated/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--DAYLIFE_Shopping--185012-194011.wav,datasets/training_dataset/smplx/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--DAYLIFE_Shopping--185012-194011/PVW159
datasets/training_dataset/audio/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--DAYLIFE_Shopping--185012-194011/SKG572/audio_separated/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--DAYLIFE_Shopping--185012-194011.wav,datasets/training_dataset/smplx/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--DAYLIFE_Shopping--185012-194011/SKG572
datasets/training_dataset/audio/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--ACTING_Going_on_a_vacation_to_a_new_town--101940-102699/AQK592/audio_separated/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--ACTING_Going_on_a_vacation_to_a_new_town--101940-102699.wav,datasets/training_dataset/smplx/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--ACTING_Going_on_a_vacation_to_a_new_town--101940-102699/AQK592
datasets/training_dataset/audio/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--ACTING_Going_on_a_vacation_to_a_new_town--101940-102699/BFG607/audio_separated/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--ACTING_Going_on_a_vacation_to_a_new_town--101940-102699.wav,datasets/training_dataset/smplx/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--ACTING_Going_on_a_vacation_to_a_new_town--101940-102699/BFG607
datasets/training_dataset/audio/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--ACTING_Going_on_a_vacation_to_a_new_town--101940-102699/PVW159/audio_separated/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--ACTING_Going_on_a_vacation_to_a_new_town--101940-102699.wav,datasets/training_dataset/smplx/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--ACTING_Going_on_a_vacation_to_a_new_town--101940-102699/PVW159
datasets/training_dataset/audio/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--ACTING_Going_on_a_vacation_to_a_new_town--101940-102699/SKG572/audio_separated/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--ACTING_Going_on_a_vacation_to_a_new_town--101940-102699.wav,datasets/training_dataset/smplx/c--20250123--1400--BFG607--AQK592--PVW159--SKG572--pilot--MotionPrior--ACTING_Going_on_a_vacation_to_a_new_town--101940-102699/SKG572
datasets/training_dataset/audio/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--DAYLIFE_Group_Trip--186599-187498/AVL958/audio_separated/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--DAYLIFE_Group_Trip--186599-187498.wav,datasets/training_dataset/smplx/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--DAYLIFE_Group_Trip--186599-187498/AVL958
datasets/training_dataset/audio/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--DAYLIFE_Group_Trip--186599-187498/ZVV024/audio_separated/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--DAYLIFE_Group_Trip--186599-187498.wav,datasets/training_dataset/smplx/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--DAYLIFE_Group_Trip--186599-187498/ZVV024
datasets/training_dataset/audio/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--DAYLIFE_Group_Trip--186599-187498/APU795/audio_separated/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--DAYLIFE_Group_Trip--186599-187498.wav,datasets/training_dataset/smplx/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--DAYLIFE_Group_Trip--186599-187498/APU795
datasets/training_dataset/audio/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--DAYLIFE_Group_Trip--186599-187498/BST815/audio_separated/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--DAYLIFE_Group_Trip--186599-187498.wav,datasets/training_dataset/smplx/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--DAYLIFE_Group_Trip--186599-187498/BST815
datasets/training_dataset/audio/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--191374-193628/RVB240/audio_separated/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--191374-193628.wav,datasets/training_dataset/smplx/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--191374-193628/RVB240
datasets/training_dataset/audio/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--191374-193628/GBM952/audio_separated/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--191374-193628.wav,datasets/training_dataset/smplx/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--191374-193628/GBM952
datasets/training_dataset/audio/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--191374-193628/UFK987/audio_separated/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--191374-193628.wav,datasets/training_dataset/smplx/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--191374-193628/UFK987
datasets/training_dataset/audio/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--191374-193628/EYX463/audio_separated/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--191374-193628.wav,datasets/training_dataset/smplx/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--191374-193628/EYX463
datasets/training_dataset/audio/c--20250221--1406--KXN409--LWG809--YXS924--DEJ689--pilot--MotionPrior--ACTING_Adult_Birthday--083033-085282/YXS924/audio_separated/c--20250221--1406--KXN409--LWG809--YXS924--DEJ689--pilot--MotionPrior--ACTING_Adult_Birthday--083033-085282.wav,datasets/training_dataset/smplx/c--20250221--1406--KXN409--LWG809--YXS924--DEJ689--pilot--MotionPrior--ACTING_Adult_Birthday--083033-085282/YXS924
datasets/training_dataset/audio/c--20250221--1406--KXN409--LWG809--YXS924--DEJ689--pilot--MotionPrior--ACTING_Adult_Birthday--083033-085282/LWG809/audio_separated/c--20250221--1406--KXN409--LWG809--YXS924--DEJ689--pilot--MotionPrior--ACTING_Adult_Birthday--083033-085282.wav,datasets/training_dataset/smplx/c--20250221--1406--KXN409--LWG809--YXS924--DEJ689--pilot--MotionPrior--ACTING_Adult_Birthday--083033-085282/LWG809
datasets/training_dataset/audio/c--20250221--1406--KXN409--LWG809--YXS924--DEJ689--pilot--MotionPrior--ACTING_Adult_Birthday--083033-085282/KXN409/audio_separated/c--20250221--1406--KXN409--LWG809--YXS924--DEJ689--pilot--MotionPrior--ACTING_Adult_Birthday--083033-085282.wav,datasets/training_dataset/smplx/c--20250221--1406--KXN409--LWG809--YXS924--DEJ689--pilot--MotionPrior--ACTING_Adult_Birthday--083033-085282/KXN409
datasets/training_dataset/audio/c--20250221--1406--KXN409--LWG809--YXS924--DEJ689--pilot--MotionPrior--ACTING_Adult_Birthday--083033-085282/DEJ689/audio_separated/c--20250221--1406--KXN409--LWG809--YXS924--DEJ689--pilot--MotionPrior--ACTING_Adult_Birthday--083033-085282.wav,datasets/training_dataset/smplx/c--20250221--1406--KXN409--LWG809--YXS924--DEJ689--pilot--MotionPrior--ACTING_Adult_Birthday--083033-085282/DEJ689
datasets/training_dataset/audio/c--20250221--1000--LBI931--XYY362--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--212932-217281/XYY362/audio_separated/c--20250221--1000--LBI931--XYY362--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--212932-217281.wav,datasets/training_dataset/smplx/c--20250221--1000--LBI931--XYY362--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--212932-217281/XYY362
datasets/training_dataset/audio/c--20250221--1000--LBI931--XYY362--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--212932-217281/LBI931/audio_separated/c--20250221--1000--LBI931--XYY362--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--212932-217281.wav,datasets/training_dataset/smplx/c--20250221--1000--LBI931--XYY362--pilot--MotionPrior--DAYLIFE_Getting_ready_for_bed--212932-217281/LBI931
datasets/training_dataset/audio/c--20250108--1300--DXG448--SZM479--JON169--BWW760--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--121565-124114/SZM479/audio_separated/c--20250108--1300--DXG448--SZM479--JON169--BWW760--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--121565-124114.wav,datasets/training_dataset/smplx/c--20250108--1300--DXG448--SZM479--JON169--BWW760--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--121565-124114/SZM479
datasets/training_dataset/audio/c--20250108--1300--DXG448--SZM479--JON169--BWW760--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--121565-124114/BWW760/audio_separated/c--20250108--1300--DXG448--SZM479--JON169--BWW760--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--121565-124114.wav,datasets/training_dataset/smplx/c--20250108--1300--DXG448--SZM479--JON169--BWW760--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--121565-124114/BWW760
datasets/training_dataset/audio/c--20250108--1300--DXG448--SZM479--JON169--BWW760--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--121565-124114/DXG448/audio_separated/c--20250108--1300--DXG448--SZM479--JON169--BWW760--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--121565-124114.wav,datasets/training_dataset/smplx/c--20250108--1300--DXG448--SZM479--JON169--BWW760--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--121565-124114/DXG448
datasets/training_dataset/audio/c--20250108--1300--DXG448--SZM479--JON169--BWW760--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--121565-124114/JON169/audio_separated/c--20250108--1300--DXG448--SZM479--JON169--BWW760--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--121565-124114.wav,datasets/training_dataset/smplx/c--20250108--1300--DXG448--SZM479--JON169--BWW760--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--121565-124114/JON169
datasets/training_dataset/audio/c--20250127--1400--NOC230--IKF796--DTH895--KIY374--pilot--MotionPrior--ACTING_Taking_a_class_together_--103701-112692/IKF796/audio_separated/c--20250127--1400--NOC230--IKF796--DTH895--KIY374--pilot--MotionPrior--ACTING_Taking_a_class_together_--103701-112692.wav,datasets/training_dataset/smplx/c--20250127--1400--NOC230--IKF796--DTH895--KIY374--pilot--MotionPrior--ACTING_Taking_a_class_together_--103701-112692/IKF796
datasets/training_dataset/audio/c--20250127--1400--NOC230--IKF796--DTH895--KIY374--pilot--MotionPrior--ACTING_Taking_a_class_together_--103701-112692/NOC230/audio_separated/c--20250127--1400--NOC230--IKF796--DTH895--KIY374--pilot--MotionPrior--ACTING_Taking_a_class_together_--103701-112692.wav,datasets/training_dataset/smplx/c--20250127--1400--NOC230--IKF796--DTH895--KIY374--pilot--MotionPrior--ACTING_Taking_a_class_together_--103701-112692/NOC230
datasets/training_dataset/audio/c--20250127--1400--NOC230--IKF796--DTH895--KIY374--pilot--MotionPrior--ACTING_Taking_a_class_together_--103701-112692/KIY374/audio_separated/c--20250127--1400--NOC230--IKF796--DTH895--KIY374--pilot--MotionPrior--ACTING_Taking_a_class_together_--103701-112692.wav,datasets/training_dataset/smplx/c--20250127--1400--NOC230--IKF796--DTH895--KIY374--pilot--MotionPrior--ACTING_Taking_a_class_together_--103701-112692/KIY374
datasets/training_dataset/audio/c--20250127--1400--NOC230--IKF796--DTH895--KIY374--pilot--MotionPrior--ACTING_Taking_a_class_together_--103701-112692/DTH895/audio_separated/c--20250127--1400--NOC230--IKF796--DTH895--KIY374--pilot--MotionPrior--ACTING_Taking_a_class_together_--103701-112692.wav,datasets/training_dataset/smplx/c--20250127--1400--NOC230--IKF796--DTH895--KIY374--pilot--MotionPrior--ACTING_Taking_a_class_together_--103701-112692/DTH895
datasets/training_dataset/audio/c--20250130--0900--EMQ264--OOA865--GIY368--DRO956--pilot--MotionPrior--DAYLIFE_Group_Trip--120120-121624/GIY368/audio_separated/c--20250130--0900--EMQ264--OOA865--GIY368--DRO956--pilot--MotionPrior--DAYLIFE_Group_Trip--120120-121624.wav,datasets/training_dataset/smplx/c--20250130--0900--EMQ264--OOA865--GIY368--DRO956--pilot--MotionPrior--DAYLIFE_Group_Trip--120120-121624/GIY368
datasets/training_dataset/audio/c--20250130--0900--EMQ264--OOA865--GIY368--DRO956--pilot--MotionPrior--DAYLIFE_Group_Trip--120120-121624/DRO956/audio_separated/c--20250130--0900--EMQ264--OOA865--GIY368--DRO956--pilot--MotionPrior--DAYLIFE_Group_Trip--120120-121624.wav,datasets/training_dataset/smplx/c--20250130--0900--EMQ264--OOA865--GIY368--DRO956--pilot--MotionPrior--DAYLIFE_Group_Trip--120120-121624/DRO956
datasets/training_dataset/audio/c--20250130--0900--EMQ264--OOA865--GIY368--DRO956--pilot--MotionPrior--DAYLIFE_Group_Trip--120120-121624/OOA865/audio_separated/c--20250130--0900--EMQ264--OOA865--GIY368--DRO956--pilot--MotionPrior--DAYLIFE_Group_Trip--120120-121624.wav,datasets/training_dataset/smplx/c--20250130--0900--EMQ264--OOA865--GIY368--DRO956--pilot--MotionPrior--DAYLIFE_Group_Trip--120120-121624/OOA865
datasets/training_dataset/audio/c--20250130--0900--EMQ264--OOA865--GIY368--DRO956--pilot--MotionPrior--DAYLIFE_Group_Trip--120120-121624/EMQ264/audio_separated/c--20250130--0900--EMQ264--OOA865--GIY368--DRO956--pilot--MotionPrior--DAYLIFE_Group_Trip--120120-121624.wav,datasets/training_dataset/smplx/c--20250130--0900--EMQ264--OOA865--GIY368--DRO956--pilot--MotionPrior--DAYLIFE_Group_Trip--120120-121624/EMQ264
datasets/training_dataset/audio/c--20250122--1350--ZPZ640--HXR046--FGI958--DLF703--pilot--MotionPrior--ACTING_Town_hall_meeting--108331-112973/FGI958/audio_separated/c--20250122--1350--ZPZ640--HXR046--FGI958--DLF703--pilot--MotionPrior--ACTING_Town_hall_meeting--108331-112973.wav,datasets/training_dataset/smplx/c--20250122--1350--ZPZ640--HXR046--FGI958--DLF703--pilot--MotionPrior--ACTING_Town_hall_meeting--108331-112973/FGI958
datasets/training_dataset/audio/c--20250122--1350--ZPZ640--HXR046--FGI958--DLF703--pilot--MotionPrior--ACTING_Town_hall_meeting--108331-112973/ZPZ640/audio_separated/c--20250122--1350--ZPZ640--HXR046--FGI958--DLF703--pilot--MotionPrior--ACTING_Town_hall_meeting--108331-112973.wav,datasets/training_dataset/smplx/c--20250122--1350--ZPZ640--HXR046--FGI958--DLF703--pilot--MotionPrior--ACTING_Town_hall_meeting--108331-112973/ZPZ640
datasets/training_dataset/audio/c--20250122--1350--ZPZ640--HXR046--FGI958--DLF703--pilot--MotionPrior--ACTING_Town_hall_meeting--108331-112973/HXR046/audio_separated/c--20250122--1350--ZPZ640--HXR046--FGI958--DLF703--pilot--MotionPrior--ACTING_Town_hall_meeting--108331-112973.wav,datasets/training_dataset/smplx/c--20250122--1350--ZPZ640--HXR046--FGI958--DLF703--pilot--MotionPrior--ACTING_Town_hall_meeting--108331-112973/HXR046
datasets/training_dataset/audio/c--20250122--1350--ZPZ640--HXR046--FGI958--DLF703--pilot--MotionPrior--ACTING_Town_hall_meeting--108331-112973/DLF703/audio_separated/c--20250122--1350--ZPZ640--HXR046--FGI958--DLF703--pilot--MotionPrior--ACTING_Town_hall_meeting--108331-112973.wav,datasets/training_dataset/smplx/c--20250122--1350--ZPZ640--HXR046--FGI958--DLF703--pilot--MotionPrior--ACTING_Town_hall_meeting--108331-112973/DLF703
datasets/training_dataset/audio/c--20250128--1400--JNA469--PWQ428--SBC772--SUJ760--pilot--MotionPrior--ACTING_Adult_Birthday_--166455-168255/JNA469/audio_separated/c--20250128--1400--JNA469--PWQ428--SBC772--SUJ760--pilot--MotionPrior--ACTING_Adult_Birthday_--166455-168255.wav,datasets/training_dataset/smplx/c--20250128--1400--JNA469--PWQ428--SBC772--SUJ760--pilot--MotionPrior--ACTING_Adult_Birthday_--166455-168255/JNA469
